country,year,scenario,co2_projected
China,2025,BAU,12166.085786337944
China,2025,Moderate Mitigation,11922.764070611185
China,2025,Aggressive Mitigation,11557.781497021046
China,2026,BAU,12457.79014521369
China,2026,Moderate Mitigation,11959.478539405141
China,2026,Aggressive Mitigation,11212.01113069232
China,2027,BAU,12717.796166750864
China,2027,Moderate Mitigation,11954.728396745812
China,2027,Aggressive Mitigation,10810.126741738235
China,2028,BAU,12949.548381548539
China,2028,Moderate Mitigation,11913.584511024656
China,2028,Aggressive Mitigation,10359.63870523883
China,2029,BAU,13156.117016944345
China,2029,Moderate Mitigation,11840.505315249911
China,2029,Aggressive Mitigation,9867.08776270826
China,2030,BAU,13340.238671041754
China,2030,Moderate Mitigation,11739.410030516743
China,2030,Aggressive Mitigation,9338.167069729227
China,2031,BAU,13504.35256685468
China,2031,Moderate Mitigation,11613.743207495025
China,2031,Aggressive Mitigation,8777.82916845554
China,2032,BAU,13650.632866860282
China,2032,Moderate Mitigation,11466.531608162637
China,2032,Aggressive Mitigation,8190.379720116169
China,2033,BAU,13781.017476059493
China,2033,Moderate Mitigation,11300.434330368786
China,2033,Aggressive Mitigation,7579.559611832721
China,2034,BAU,13897.23371512504
China,2034,Moderate Mitigation,11117.786972100032
China,2034,Aggressive Mitigation,6948.61685756252
China,2035,BAU,14000.821203751897
China,2035,Moderate Mitigation,10920.64053892648
China,2035,Aggressive Mitigation,6300.369541688353
China,2036,BAU,14093.152257366248
China,2036,Moderate Mitigation,10710.795715598348
China,2036,Aggressive Mitigation,5637.2609029464975
China,2037,BAU,14175.450067406271
China,2037,Moderate Mitigation,10489.83304988064
China,2037,Aggressive Mitigation,4961.407523592195
China,2038,BAU,14248.804906025063
China,2038,Moderate Mitigation,10259.139532338046
China,2038,Aggressive Mitigation,4274.641471807518
China,2039,BAU,14314.188569893788
China,2039,Moderate Mitigation,10019.931998925651
China,2039,Aggressive Mitigation,3578.547142473447
China,2040,BAU,14372.467254454932
China,2040,Moderate Mitigation,9773.277733029354
China,2040,Aggressive Mitigation,2874.493450890986
United States,2025,BAU,4908.060530941434
United States,2025,Moderate Mitigation,4809.8993203226055
United States,2025,Aggressive Mitigation,4662.657504394362
United States,2026,BAU,4879.417637381677
United States,2026,Moderate Mitigation,4684.24093188641
United States,2026,Aggressive Mitigation,4391.47587364351
